vignette,model,lang,run,category2,span2,reason
C02,claude5,en,1,CUTOFF_ONLY,"o ""punish the child in a reasonable manner for disciplinary purposes"" (ทำโทษบุตรตามสมควรเพื่อการอบรม). Important caveat — recent legal reform: Thailand has been activ","declines to state the wording at the item's date because its knowledge ends earlier, then quotes the phrase as the text at that earlier date"
C02,claude5,en,2,CUTOFF_ONLY,"a child, including the power to give reasonable discipline/punishment (ลงโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน). - Historically, Section 1567(2) allowed parents ""to punis","declines to state the wording at the item's date because its knowledge ends earlier, then quotes the phrase as the text at that earlier date"
C02,claude5,th,1,CONTRAST,"ำโทษบุตรนั้น กฎหมายที่แก้ไขใหม่ได้เปลี่ยนแปลงถ้อยคำจากเดิมที่ให้สิทธิ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" อย่างกว้างๆ โดยไม่มีข้อจำกัดชัดเจน มาเป็นการจำกัดขอบเขตการ",both occurrences are marked จากเดิม/กฎหมายเดิม and the cruelty limit is given as the current rule
C02,claude5,th,2,CONTRAST,"(ฉบับที่ 24) พ.ศ. 2568 ## สาระสำคัญ เดิมมาตรา 1567 (2) ใช้ถ้อยคำว่า ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" ซึ่งเป็นการให้อำนาจผู้ใช้อำนาจปกครองในการลงโทษบุตรอย่างกว้",the single occurrence is introduced by เดิม and followed by ต่อมาได้มีการแก้ไข
C02,claude5,th,3,ASSERT,ยกำหนดเงื่อนไขเพิ่มเติมว่าการทำโทษนั้นจะต้อง: 1. เป็นไปเพื่อว่ากล่าวสั่งสอนบุตรตามสมควรเท่านั้น 2. ต้องไม่เป็นการกระทำทารุณโหดร้าย หรือทำร้ายร่างกายหรือจิตใจของบุตร ก,after the contrast it lists ว่ากล่าวสั่งสอนบุตรตามสมควร as a condition the amended provision imposes
C02,gemini25,th,1,ASSERT,67 ผู้ใช้อำนาจปกครองมีสิทธิ > (1) กำหนดที่อยู่ของบุตร > (2) ว่ากล่าวตักเตือนบุตรตามสมควร > (3) ให้บุตรทำการงานตามสมควรแก่ความสามารถและฐานานุรูป > (4) เรียกบุตรคืนจากบุค,quotes the phrase as the wording of s.1567(2) in force at the item's date
C02,gemini25,th,2,ASSERT,67 ผู้ใช้อำนาจปกครองมีสิทธิ > (1) กำหนดที่อยู่ของบุตร > (2) ว่ากล่าวตักเตือนบุตรตามสมควร > (3) ให้บุตรทำการงานตามสมควรแก่ความสามารถและฐานานุรูป > (4) เรียกบุตรคืนจากบุค,quotes the phrase as the wording of s.1567(2) in force at the item's date
C02,gemini25,th,3,ASSERT,"น ถ้อยคำที่ใช้บังคับอยู่ปัจจุบันในมาตรา 1567(2) คือ > ""(2) ว่ากล่าวตักเตือนบุตรตามสมควรเพื่อประโยชน์ในการอบรมสั่งสอน"" --- ### สาระสำคัญของบทบัญญัติ บทบัญญัติที่ใ",quotes the phrase as the wording of s.1567(2) in force at the item's date
C02,gemini31,en,1,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro",says in terms that the quoted wording is the law as currently in force
C02,gemini31,en,2,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro",says in terms that the quoted wording is the law as currently in force
C02,gemini31,en,3,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro",says in terms that the quoted wording is the law as currently in force
C02,gemini31,th,1,ASSERT,"งและพาณิชย์ มาตรา 1567 กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิ ดังนี้: > ""(2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ กฎหมายให้สิทธิบิดามารดา (หรือผู้ใช้",quotes the phrase as the wording of s.1567(2) in force at the item's date
C02,gemini31,th,2,ASSERT,"งและพาณิชย์ มาตรา 1567 กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิ ดังนี้: > ""(2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ กฎหมายให้สิทธิบิดามารดา (หรือผู้ใช้",quotes the phrase as the wording of s.1567(2) in force at the item's date
C02,gemini31,th,3,ASSERT,"ระมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1567 ""ผู้ใช้อำนาจปกครองมีสิทธิ... (2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ: กฎหมายรับรองสิทธิให้ผู้ใช้อำนาจปกค",states the section ยังคงใช้ถ้อยคำเดิม and quotes the phrase as the operative text
C02,gpt4o,th,3,CUTOFF_ONLY,รดามีอำนาจปกครองบุตร ดังต่อไปนี้ (1) ... (2) ว่ากล่าวตักเตือนและลงโทษบุตรได้เท่าที่สมควรแก่เหตุ (3) ... หากคุณต้องการข้อมูลที่อัปเดตในปี 2569 แนะนำให้ตรวจสอบกับแหล่ง,"declines to state the wording at the item's date because its knowledge ends earlier, then quotes the phrase as the text at that earlier date"
C02,gpt55,en,1,ASSERT,rent Thai wording of Section 1567(2) is: > “(๒) ว่ากล่าวตักเตือนหรือสั่งสอนบุตรตามสมควรเพื่อการอบรมเลี้ยงดู แต่ต้องไม่กระทำโดยวิธีการทารุณกรรม ทำร้ายร่างกายหรือจิตใจ ห,keeps the phrase inside its rendition of the amended text presented as current
C02,gpt55,en,3,ASSERT,rrent Thai wording of Section 1567(2) is: > “(๒) ว่ากล่าวตักเตือน หรือทำโทษบุตรตามสมควรเพื่ออบรมสั่งสอน แต่ต้องไม่กระทำโดยทารุณกรรม หรือด้วยการใช้ความรุนแรงต่อร่างกายห,keeps the phrase inside its rendition of the amended text presented as current
C02,gpt55,th,1,ASSERT,องเกี่ยวกับการอบรม/ลงโทษบุตรไว้ว่า > “ว่ากล่าวตักเตือน อบรมสั่งสอน และลงโทษบุตรตามสมควรเพื่อการอบรมสั่งสอน แต่ต้องไม่กระทำโดยทารุณกรรมหรือใช้ความรุนแรงต่อร่างกายหรือจิ,keeps the phrase inside its rendition of the amended text presented as current
C02,gpt55,th,2,ASSERT,พาณิชย์ มาตรา 1567(2) ใช้ถ้อยคำว่า > “(2) ว่ากล่าวตักเตือน สั่งสอน และลงโทษบุตรตามสมควรเพื่ออบรมสั่งสอน โดยการลงโทษต้องไม่เป็นการกระทำทารุณกรรมหรือกระทำด้วยความรุนแรงต,keeps the phrase inside its rendition of the amended text presented as current
C02,gpt55,th,3,ASSERT,าณิชย์ มาตรา 1567(2) บัญญัติถ้อยคำไว้ว่า > “(2) ว่ากล่าวตักเตือนหรือสั่งสอนบุตรตามสมควรเพื่อพัฒนาและส่งเสริมพฤติกรรมที่เหมาะสมของบุตร โดยต้องไม่กระทำด้วยวิธีการที่เป็น,keeps the phrase inside its rendition of the amended text presented as current
C03,claude5,th,1,CONTRAST,"กายหรือจิตใจของบุตร ซึ่งเป็นการเปลี่ยนแปลงจากบทบัญญัติเดิมที่ให้อำนาจ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" โดยไม่มีการระบุข้อห้ามเรื่องความทารุณไว้อย่างชัดเจน",the only occurrence is marked บทบัญญัติเดิม and the amended purposes are given as current
C03,claude5,th,2,ASSERT,ไขเพิ่มเติมที่มีผลใช้บังคับในปัจจุบัน) กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรตามสมควร เพื่อวัตถุประสงค์ดังนี้: 1. เพื่อว่ากล่าวสั่งสอน 2. เพื่อปรับพฤติกรรม ทั้งนี้,quotes the phrase as the wording of s.1567(2) in force at the item's date
C03,claude5,th,3,ASSERT,"เฆี่ยนตี"" บุตรตามบทบัญญัติเดิม) สาระสำคัญ: ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรได้ตามสมควร เพื่อวัตถุประสงค์ 2 ประการ คือ 1. เพื่อว่ากล่าวสั่งสอนบุตร 2. เพื่อปรับพฤติกรร",quotes the phrase as the wording of s.1567(2) in force at the item's date
C03,gemini25,th,2,ASSERT,"ุตรเพื่อวัตถุประสงค์ใดๆ อีกต่อไป แต่ผู้ใช้อำนาจปกครองยังมีสิทธิ ""อบรมสั่งสอนบุตรตามสมควร"" โดยต้องไม่ใช้วิธีการรุนแรงหรือเป็นการลงโทษทางร่างกาย --- หากอ้างอิงตาม ตัวบท",says that in August 2026 the right that remains is อบรมสั่งสอนบุตรตามสมควร
C03,gemini31,en,3,ASSERT,"equiring that any such punishment must be carried out in a ""reasonable manner"" (ตามสมควร). Purposes for punishment: Under the Thai text of the provision (เพื่อว่ากล่า","treats the phrase as the statutory standard the conduct is measured against, as currently in force"
C03,gemini31,th,1,ASSERT,"พาณิชย์ มาตรา 1567 (2) สาระสำคัญและวัตถุประสงค์: ตามตัวบทกฎหมาย การทำโทษบุตร (ตามสมควร) ทำได้เพื่อวัตถุประสงค์เดียว คือ ""เพื่อว่ากล่าวสั่งสอน"" (ข้อสังเกตทางกฎหมายสำ",quotes the phrase as the wording of s.1567(2) in force at the item's date
C03,gemini31,th,2,ASSERT,"สาระสำคัญและวัตถุประสงค์: กฎหมายกำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิทำโทษบุตรได้ตามสมควร โดยมีวัตถุประสงค์เพื่อ ""ว่ากล่าวสั่งสอน"" เท่านั้น (ไม่สามารถทำโทษด้วยความรุนแรง",quotes the phrase as the wording of s.1567(2) in force at the item's date
