vignette,model,lang,run,label,frame,category,evidence_span
C02,claude5,en,1,repealed,post,CUTOFF_ONLY,"o ""punish the child in a reasonable manner for disciplinary purposes"" (ทำโทษบุตรตามสมควรเพื่อการอบรม). Important caveat — recent legal reform: Thailand has been activ"
C02,claude5,en,2,repealed,post,CUTOFF_ONLY,"a child, including the power to give reasonable discipline/punishment (ลงโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน). - Historically, Section 1567(2) allowed parents ""to punis"
C02,claude5,th,1,correct,post,CONTRAST,"ำโทษบุตรนั้น กฎหมายที่แก้ไขใหม่ได้เปลี่ยนแปลงถ้อยคำจากเดิมที่ให้สิทธิ ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" อย่างกว้างๆ โดยไม่มีข้อจำกัดชัดเจน มาเป็นการจำกัดขอบเขตการ"
C02,claude5,th,2,repealed,post,CONTRAST,"(ฉบับที่ 24) พ.ศ. 2568 ## สาระสำคัญ เดิมมาตรา 1567 (2) ใช้ถ้อยคำว่า ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" ซึ่งเป็นการให้อำนาจผู้ใช้อำนาจปกครองในการลงโทษบุตรอย่างกว้"
C02,claude5,th,3,repealed,post,ASSERT,ยกำหนดเงื่อนไขเพิ่มเติมว่าการทำโทษนั้นจะต้อง: 1. เป็นไปเพื่อว่ากล่าวสั่งสอนบุตรตามสมควรเท่านั้น 2. ต้องไม่เป็นการกระทำทารุณโหดร้าย หรือทำร้ายร่างกายหรือจิตใจของบุตร ก
C02,gemini25,th,1,repealed,post,ASSERT,67 ผู้ใช้อำนาจปกครองมีสิทธิ > (1) กำหนดที่อยู่ของบุตร > (2) ว่ากล่าวตักเตือนบุตรตามสมควร > (3) ให้บุตรทำการงานตามสมควรแก่ความสามารถและฐานานุรูป > (4) เรียกบุตรคืนจากบุค
C02,gemini25,th,2,repealed,post,ASSERT,67 ผู้ใช้อำนาจปกครองมีสิทธิ > (1) กำหนดที่อยู่ของบุตร > (2) ว่ากล่าวตักเตือนบุตรตามสมควร > (3) ให้บุตรทำการงานตามสมควรแก่ความสามารถและฐานานุรูป > (4) เรียกบุตรคืนจากบุค
C02,gemini25,th,3,repealed,post,ASSERT,"น ถ้อยคำที่ใช้บังคับอยู่ปัจจุบันในมาตรา 1567(2) คือ > ""(2) ว่ากล่าวตักเตือนบุตรตามสมควรเพื่อประโยชน์ในการอบรมสั่งสอน"" --- ### สาระสำคัญของบทบัญญัติ บทบัญญัติที่ใ"
C02,gemini31,en,1,correct,post,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro"
C02,gemini31,en,2,correct,post,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro"
C02,gemini31,en,3,correct,post,ASSERT,"m."" (Note on the Thai text: The specific wording for subsection 2 is ""ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"", which directly translates to punishing the child as appro"
C02,gemini31,th,1,correct,post,ASSERT,"งและพาณิชย์ มาตรา 1567 กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิ ดังนี้: > ""(2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ กฎหมายให้สิทธิบิดามารดา (หรือผู้ใช้"
C02,gemini31,th,2,correct,post,ASSERT,"งและพาณิชย์ มาตรา 1567 กำหนดให้ผู้ใช้อำนาจปกครองมีสิทธิ ดังนี้: > ""(2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ กฎหมายให้สิทธิบิดามารดา (หรือผู้ใช้"
C02,gemini31,th,3,correct,post,ASSERT,"ระมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1567 ""ผู้ใช้อำนาจปกครองมีสิทธิ... (2) ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน"" สาระสำคัญของบทบัญญัติ: กฎหมายรับรองสิทธิให้ผู้ใช้อำนาจปกค"
C02,gpt4o,th,3,refusal,post,CUTOFF_ONLY,รดามีอำนาจปกครองบุตร ดังต่อไปนี้ (1) ... (2) ว่ากล่าวตักเตือนและลงโทษบุตรได้เท่าที่สมควรแก่เหตุ (3) ... หากคุณต้องการข้อมูลที่อัปเดตในปี 2569 แนะนำให้ตรวจสอบกับแหล่ง
C02,gpt55,en,1,correct,post,ASSERT,rent Thai wording of Section 1567(2) is: > “(๒) ว่ากล่าวตักเตือนหรือสั่งสอนบุตรตามสมควรเพื่อการอบรมเลี้ยงดู แต่ต้องไม่กระทำโดยวิธีการทารุณกรรม ทำร้ายร่างกายหรือจิตใจ ห
C02,gpt55,en,3,correct,post,ASSERT,rrent Thai wording of Section 1567(2) is: > “(๒) ว่ากล่าวตักเตือน หรือทำโทษบุตรตามสมควรเพื่ออบรมสั่งสอน แต่ต้องไม่กระทำโดยทารุณกรรม หรือด้วยการใช้ความรุนแรงต่อร่างกายห
C02,gpt55,th,1,correct,post,ASSERT,องเกี่ยวกับการอบรม/ลงโทษบุตรไว้ว่า > “ว่ากล่าวตักเตือน อบรมสั่งสอน และลงโทษบุตรตามสมควรเพื่อการอบรมสั่งสอน แต่ต้องไม่กระทำโดยทารุณกรรมหรือใช้ความรุนแรงต่อร่างกายหรือจิ
C02,gpt55,th,2,correct,post,ASSERT,พาณิชย์ มาตรา 1567(2) ใช้ถ้อยคำว่า > “(2) ว่ากล่าวตักเตือน สั่งสอน และลงโทษบุตรตามสมควรเพื่ออบรมสั่งสอน โดยการลงโทษต้องไม่เป็นการกระทำทารุณกรรมหรือกระทำด้วยความรุนแรงต
C02,gpt55,th,3,correct,post,ASSERT,าณิชย์ มาตรา 1567(2) บัญญัติถ้อยคำไว้ว่า > “(2) ว่ากล่าวตักเตือนหรือสั่งสอนบุตรตามสมควรเพื่อพัฒนาและส่งเสริมพฤติกรรมที่เหมาะสมของบุตร โดยต้องไม่กระทำด้วยวิธีการที่เป็น
