vignette_id,group,probe_id,type,frame,model,model_version,language,condition,run_index,label,anchor_depth,hedged,denies_provision,echo_repealed_wording,manual_review,response_chars
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,1,repealed,1,0,0,0,0,327
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,2,repealed,1,0,0,0,0,327
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,3,repealed,1,0,0,0,0,345
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,1,wrong_other,0,0,0,0,0,198
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,2,wrong_other,0,0,0,0,0,198
A01,A,A1,knowledge,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,3,wrong_other,0,0,0,0,0,167
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,en,baseline,1,correct,0,0,0,0,0,697
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,en,baseline,2,correct,0,0,0,0,0,611
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,en,baseline,3,correct,0,0,0,0,0,789
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,th,baseline,1,correct,0,0,0,0,0,152
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,th,baseline,2,correct,0,0,0,0,0,363
A01,A,A1,knowledge,post,claude5,anthropic/claude-sonnet-5,th,baseline,3,correct,0,0,0,0,0,559
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,en,baseline,1,correct,0,0,0,0,0,363
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,en,baseline,2,correct,0,0,0,0,0,363
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,en,baseline,3,correct,0,0,0,0,0,328
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,th,baseline,1,correct,0,1,0,0,0,567
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,th,baseline,2,correct,0,1,0,0,0,567
A01,A,A1,knowledge,post,gemini25,google/gemini-2.5-pro,th,baseline,3,correct,0,0,0,0,0,279
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,1,correct,0,0,0,0,0,483
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,2,correct,0,0,0,0,0,483
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,3,correct,0,0,0,0,0,477
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,1,correct,0,0,0,0,0,322
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,2,correct,0,1,0,0,0,361
A01,A,A1,knowledge,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,3,correct,0,1,0,0,0,400
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,en,baseline,1,correct,0,0,0,0,0,214
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,en,baseline,2,correct,0,0,0,0,0,227
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,en,baseline,3,correct,0,0,0,0,0,227
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,th,baseline,1,wrong_other,0,0,0,0,0,192
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,th,baseline,2,wrong_other,0,0,0,0,0,98
A01,A,A1,knowledge,post,gpt4o,gpt-4o-2024-11-20,th,baseline,3,wrong_other,0,0,0,0,0,98
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,en,baseline,1,correct,0,0,0,0,0,209
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,en,baseline,2,correct,0,0,0,0,0,199
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,en,baseline,3,correct,0,0,0,0,0,175
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,th,baseline,1,correct,0,0,0,0,0,148
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,th,baseline,2,correct,0,0,0,0,0,58
A01,A,A1,knowledge,post,gpt55,gpt-5.5-2026-04-23,th,baseline,3,correct,0,0,0,0,0,131
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,en,baseline,1,correct,0,0,0,0,0,191
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,en,baseline,2,correct,0,0,0,0,0,141
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,en,baseline,3,correct,0,0,0,0,0,62
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,th,baseline,1,correct,0,0,0,0,0,129
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,th,baseline,2,wrong_other,0,0,0,0,0,101
A01,A,A1,knowledge,post,gpt5,gpt-5-2025-08-07,th,baseline,3,correct,0,0,0,0,0,122
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,1,repealed,1,0,0,0,0,127
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,2,wrong_other,0,0,0,0,0,125
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,3,repealed,1,0,0,0,0,127
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,1,wrong_other,0,0,0,0,0,15
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,2,wrong_other,0,0,0,0,0,15
A01,A,A1,knowledge,post,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,3,wrong_other,0,0,0,0,0,15
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,1,repealed,1,0,0,0,0,120
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,2,repealed,1,0,0,0,0,120
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,3,repealed,1,0,0,0,0,120
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,1,correct,0,0,0,0,0,17
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,2,wrong_other,0,0,0,0,0,17
A01,A,A1,knowledge,post,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,3,wrong_other,0,0,0,0,0,16
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,en,baseline,1,correct,0,0,0,0,0,298
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,en,baseline,2,correct,0,0,0,0,0,298
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,en,baseline,3,correct,0,0,0,0,0,298
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,th,baseline,1,correct,0,0,0,0,0,238
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,th,baseline,2,correct,0,0,0,0,0,198
A02,A,A1,knowledge,pre,claude45,anthropic/claude-sonnet-4.5,th,baseline,3,correct,0,0,0,0,0,108
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,en,baseline,1,correct,0,0,0,0,0,246
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,en,baseline,2,correct,0,0,0,0,0,272
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,en,baseline,3,correct,0,0,0,0,0,199
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,th,baseline,1,correct,0,0,0,0,0,223
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,th,baseline,2,correct,0,0,0,0,0,336
A02,A,A1,knowledge,pre,claude5,anthropic/claude-sonnet-5,th,baseline,3,correct,0,0,0,0,0,108
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,en,baseline,1,correct,0,0,0,0,0,332
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,en,baseline,2,correct,0,0,0,0,0,336
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,en,baseline,3,correct,0,0,0,0,0,246
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,th,baseline,1,correct,0,0,0,0,0,265
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,th,baseline,2,correct,0,0,1,0,0,274
A02,A,A1,knowledge,pre,gemini25,google/gemini-2.5-pro,th,baseline,3,correct,0,0,1,0,0,274
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,en,baseline,1,correct,0,0,0,0,0,277
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,en,baseline,2,correct,0,0,0,0,0,269
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,en,baseline,3,correct,0,0,0,0,0,277
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,th,baseline,1,correct,0,0,0,0,0,264
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,th,baseline,2,correct,0,0,0,0,0,285
A02,A,A1,knowledge,pre,gemini31,google/gemini-3.1-pro-preview,th,baseline,3,correct,0,0,0,0,0,10
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,en,baseline,1,wrong_other,0,0,0,0,0,173
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,en,baseline,2,wrong_other,0,0,0,0,0,173
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,en,baseline,3,wrong_other,0,0,0,0,0,173
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,th,baseline,1,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,th,baseline,2,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,gpt4o,gpt-4o-2024-11-20,th,baseline,3,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,en,baseline,1,correct,0,0,0,0,0,123
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,en,baseline,2,correct,0,0,0,0,0,123
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,en,baseline,3,correct,0,0,0,0,0,168
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,th,baseline,1,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,th,baseline,2,correct,0,0,0,0,0,25
A02,A,A1,knowledge,pre,gpt55,gpt-5.5-2026-04-23,th,baseline,3,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,en,baseline,1,correct,0,0,0,0,0,173
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,en,baseline,2,correct,0,0,0,0,0,86
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,en,baseline,3,correct,0,0,0,0,0,75
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,th,baseline,1,correct,0,0,0,0,0,109
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,th,baseline,2,correct,0,0,0,0,0,51
A02,A,A1,knowledge,pre,gpt5,gpt-5-2025-08-07,th,baseline,3,correct,0,0,0,0,0,51
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,1,wrong_other,0,0,0,0,0,9
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,2,wrong_other,0,0,0,0,0,9
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,en,baseline,3,correct,0,0,0,0,0,4
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,1,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,2,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,qwen3,qwen/qwen3-235b-a22b-2507,th,baseline,3,correct,0,0,0,0,0,16
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,1,over_applied,0,0,0,0,0,180
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,2,over_applied,0,0,0,0,0,180
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,en,baseline,3,wrong_other,0,0,0,0,0,2
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,1,wrong_other,0,0,0,0,0,16
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,2,wrong_other,0,0,0,0,0,17
A02,A,A1,knowledge,pre,typhoon25,typhoon-v2.5-30b-a3b-instruct,th,baseline,3,over_applied,0,0,0,0,0,14
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,1,repealed,1,0,0,0,0,356
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,2,repealed,1,0,0,0,0,356
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,en,baseline,3,repealed,1,0,0,0,0,356
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,1,repealed,1,0,0,0,0,488
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,2,wrong_other,0,0,0,0,0,297
A03,A,A1,application,post,claude45,anthropic/claude-sonnet-4.5,th,baseline,3,wrong_other,0,0,0,0,0,277
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,en,baseline,1,correct,0,0,0,0,0,742
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,en,baseline,2,correct,0,0,0,0,0,779
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,en,baseline,3,correct,0,0,0,0,0,478
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,th,baseline,1,correct,0,0,0,0,0,312
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,th,baseline,2,correct,0,0,0,0,0,470
A03,A,A1,application,post,claude5,anthropic/claude-sonnet-5,th,baseline,3,correct,0,0,0,0,0,388
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,en,baseline,1,correct,0,0,0,0,0,213
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,en,baseline,2,correct,0,0,0,0,0,433
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,en,baseline,3,wrong_other,0,0,0,0,0,356
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,th,baseline,1,correct,0,0,0,0,0,246
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,th,baseline,2,correct,0,0,0,0,0,369
A03,A,A1,application,post,gemini25,google/gemini-2.5-pro,th,baseline,3,correct,0,0,0,0,0,399
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,1,correct,0,0,0,0,0,443
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,2,correct,0,0,0,0,0,497
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,en,baseline,3,correct,0,0,0,0,0,443
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,1,correct,0,0,0,0,0,337
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,2,correct,0,0,0,0,0,317
A03,A,A1,application,post,gemini31,google/gemini-3.1-pro-preview,th,baseline,3,correct,0,0,0,0,0,317
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,en,baseline,1,repealed,1,0,0,0,0,367
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,en,baseline,2,repealed,1,0,0,0,0,367
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,en,baseline,3,repealed,1,0,0,0,0,331
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,th,baseline,1,repealed,1,0,0,0,0,232
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,th,baseline,2,repealed,1,0,0,0,0,232
A03,A,A1,application,post,gpt4o,gpt-4o-2024-11-20,th,baseline,3,repealed,1,0,0,0,0,236
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,en,baseline,1,correct,0,0,0,0,0,241
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,en,baseline,2,correct,0,0,0,0,0,202
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,en,baseline,3,correct,0,0,0,0,0,228
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,th,baseline,1,correct,0,0,0,0,0,124
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,th,baseline,2,correct,0,0,0,0,0,133
A03,A,A1,application,post,gpt55,gpt-5.5-2026-04-23,th,baseline,3,correct,0,0,0,0,0,161
A03,A,A1,application,post,gpt5,gpt-5-2025-08-07,en,baseline,1,correct,0,0,0,0,0,238
A03,A,A1,application,post,gpt5,gpt-5-2025-08-07,en,baseline,2,correct,0,0,0,0,0,318
A03,A,A1,application,post,gpt5,gpt-5-2025-08-07,en,baseline,3,wrong_other,0,0,0,0,0,255
A03,A,A1,application,post,gpt5,gpt-5-2025-08-07,th,baseline,1,correct,0,0,0,0,0,319
