probe_id,group,statute,section,old_rule,new_rule,effective_date,instrument,gazette,evidence_old,strength
A1,A,ปพพ,ม.7 ว.1,ร้อยละ 7.5 ต่อปี,ร้อยละ 3 ต่อปี,2021-04-11,พรก แก้ไขเพิ่มเติม ปพพ 2564,138/26ก/1,หมายเหตุท้าย พรก,strong
A2,A,ปพพ,ม.224 ว.1,ร้อยละ 7.5 ต่อปี,อัตราตาม ม.7 บวก 2 = ร้อยละ 5 ต่อปี,2021-04-11,พรก แก้ไขเพิ่มเติม ปพพ 2564,138/26ก/1,หมายเหตุท้าย พรก,strong
A4,A,ปพพ,ม.224/1,ไม่มีบทบัญญัติ,เรียกดอกเบี้ยผิดนัดได้เฉพาะจากต้นเงินงวดที่ผิดนัด ข้อตกลงที่ขัดเป็นโมฆะ,2021-04-11,พรก แก้ไขเพิ่มเติม ปพพ 2564,138/26ก/1,ม.5 ให้เพิ่มความ,strong
A5,A,ปพพ,ม.7 ว.2,ไม่มีกลไกปรับอัตรา,ปรับโดยพระราชกฤษฎีกา คลังทบทวนทุก 3 ปี,2021-04-11,พรก แก้ไขเพิ่มเติม ปพพ 2564,138/26ก/1,หมายเหตุท้าย กำหนดวิธีการปรับเปลี่ยน,medium
B1,B,ปพพ,ม.1097,ไม่น้อยกว่า 3 คน,ตั้งแต่ 2 คนขึ้นไป,2023-02-07,พรบ ปพพ ฉบับ 23 พศ 2565,139/69ก/1,หมายเหตุท้าย ไว้สามคน,strong
B2,B,ปพพ,ม.1201 ว.4,ไม่มีกำหนดเวลา,ภายใน 1 เดือนนับแต่วันลงมติ,2023-02-07,พรบ ปพพ ฉบับ 23 พศ 2565,139/69ก/1,หมายเหตุท้าย การไม่กำหนดระยะเวลาจ่ายปันผล,strong
B3,B,ปพพ,ม.1162/1,ไม่มีบทบัญญัติ,ประชุมกรรมการผ่านเทคโนโลยีได้ นับองค์ประชุมและออกเสียงได้,2023-02-07,พรบ ปพพ ฉบับ 23 พศ 2565,139/69ก/1,ม.11 ให้เพิ่มความ,strong
B4,B,ปพพ,ม.1099 ว.2,ไม่มีบทบัญญัติ,บริคณห์สนธิสิ้นผลถ้าไม่จดทะเบียนบริษัทภายใน 3 ปี,2023-02-07,พรบ ปพพ ฉบับ 23 พศ 2565,139/69ก/1,ม.19 บทเฉพาะกาลอ้างวรรคสองซึ่งแก้ไขโดย พรบ นี้,medium
B5,B,ปพพ,ส่วนที่ 9 ม.1238,ควบเข้ากัน บริษัทเดิมหมดสภาพทุกราย,ควบรวม เลือกให้บริษัทหนึ่งคงสภาพได้,2023-02-07,พรบ ปพพ ฉบับ 23 พศ 2565,139/69ก/1,ม.17 ยกเลิกชื่อส่วนเดิม + หมายเหตุ,medium
C1,C,ปพพ,ม.1567(2),ทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน,ทำโทษบุตรเพื่อว่ากล่าวสั่งสอนหรือปรับพฤติกรรม โดยต้องไม่เป็นการกระทำทารุณกรรมหรือทำร้ายด้วยความรุนแรงต่อร่างกายหรือจิตใจ หรือกระทำโดยมิชอบ,2025-03-25,พรบ ปพพ ฉบับ 25 พศ 2568,142/14ก/1,หมายเหตุท้าย ทำโทษบุตรตามสมควร,strong
